Cabin Boat,10,3,GRP,Used boat,Unknown,Switzerland,lower_50K,15360,Very High (171-1000),829,1976-1990,1988,84
Sport Boat,7,2,GRP,Used boat,Unknown,Netherlands,lower_50K,12500,Very High (171-1000),826,1991-2000,1995,85
Motor Yacht,7,3,Unknown,Used boat,Unknown,Switzerland,50K-150K,91200,Very High (171-1000),826,2016-2020,2017,86
Trawler,7,2,Unknown,Used boat,Unknown,Germany,lower_50K,29999,Very High (171-1000),811,2001-2010,2009,87
Offshore Boat,11,3,GRP,Used boat,Unknown,Switzerland,lower_50K,47904,Very High (171-1000),810,1976-1990,1985,88
House Boat,10,3,Steel,Used boat,Unknown,Switzerland,150K-300K,171840,Very High (171-1000),806,1991-2000,1998,89
Sport Boat,8,3,GRP,Used boat,Unknown,Germany,50K-150K,95000,Very High (171-1000),801,2011-2015,2011,90
Offshore Boat,9,3,GRP,Used boat,Unknown,Switzerland,lower_50K,32832,Very High (171-1000),799,1991-2000,1996,91
Cabin Boat,8,3,Plastic,Used boat,Unknown,Switzerland,lower_50K,34560,Very High (171-1000),799,2011-2015,2011,92
Sport Boat,8,3,Plastic,Used boat,Unknown,Switzerland,lower_50K,12000,Very High (171-1000),792,1976-1990,1988,93
Classic,8,2,GRP,Used boat,Unknown,Switzerland,50K-150K,82560,Very High (171-1000),790,2001-2010,2007,94
Sport Boat,7,3,GRP,new boat from stock,Unknown,Switzerland,50K-150K,120864,Very High (171-1000),785,2016-2020,2019,95
Sport Boat,7,2,GRP,Used boat,Unknown,Italy,lower_50K,10000,Very High (171-1000),783,1991-2000,1991,96
Cabin Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,7680,Very High (171-1000),781,1900-1975,1963,97
Wakeboard/Wakesurf,8,3,GRP,Used boat,Unknown,Switzerland,50K-150K,130560,Very High (171-1000),780,2016-2020,2017,98
Cabin Boat,9,3,GRP,Used boat,Unknown,Germany,lower_50K,19500,Very High (171-1000),778,1991-2000,1996,99
Center console boat,6,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,27840,Very High (171-1000),773,2011-2015,2013,100
Sport Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,24000,Very High (171-1000),771,1991-2000,1997,101
Pilothouse,7,2,Unknown,Used boat,Unknown,Switzerland,lower_50K,13920,Very High (171-1000),760,1991-2000,1992,102
Classic,5,2,Plastic,Used boat,Unknown,Germany,lower_50K,11040,Very High (171-1000),746,1900-1975,1958,103
Flybridge,10,4,GRP,Used boat,Unknown,Italy,lower_50K,25000,Very High (171-1000),746,1991-2000,1994,104
Motor Yacht,9,3,GRP,Used boat,Unknown,Spain,50K-150K,65000,Very High (171-1000),744,2016-2020,2015,105
Motor Yacht,15,4,GRP,Used boat,Unknown,Switzerland,150K-300K,187200,Very High (171-1000),744,1991-2000,1993,106
Motor Yacht,30,6,GRP,Used boat,Unknown,France,300K-1M,900000,Very High (171-1000),743,1991-2000,1991,107
Motor Yacht,20,5,GRP,Used boat,Unknown,Spain,Higher_1M,1499000,Very High (171-1000),742,2016-2020,2016,108
Motor Yacht,11,4,GRP,Used boat,Unknown,Switzerland,50K-150K,143040,Very High (171-1000),742,2011-2015,2011,109
Deck Boat,8,3,Aluminium,Used boat,Unknown,Germany,lower_50K,8500,Very High (171-1000),738,1991-2000,1998,110
Wakeboard/Wakesurf,7,3,GRP,Used boat,Unknown,Switzerland,50K-150K,85440,Very High (171-1000),728,2016-2020,2015,111
Cabin Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,13440,Very High (171-1000),713,1976-1990,1985,112
Wakeboard/Wakesurf,6,3,GRP,Used boat,Unknown,Switzerland,50K-150K,61248,Very High (171-1000),712,2011-2015,2012,113
Motor Yacht,8,3,GRP,Used boat,Unknown,Switzerland,50K-150K,91680,Very High (171-1000),711,2016-2020,2016,114
Bowrider,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,18240,Very High (171-1000),709,1991-2000,1998,115
Cabin Boat,8,3,GRP,Used boat,Unknown,Switzerland,50K-150K,54240,Very High (171-1000),708,2001-2010,2008,116
Cabin Boat,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,14400,Very High (171-1000),708,1976-1990,1985,117
Motor Yacht,9,3,GRP,Used boat,Unknown,Switzerland,lower_50K,33600,Very High (171-1000),706,1991-2000,1990,118
Motor Yacht,10,3,GRP,Used boat,Unknown,Croatia,lower_50K,43000,Very High (171-1000),704,1991-2000,1999,119
Cabin Boat,6,2,GRP,Used boat,Unknown,Portugal,lower_50K,9900,Very High (171-1000),700,1991-2000,1995,120
Motor Yacht,27,6,GRP,Used boat,Unknown,Italy,Higher_1M,4219500,Very High (171-1000),695,2016-2020,2018,121
Wakeboard/Wakesurf,8,3,GRP,Used boat,Unknown,Switzerland,50K-150K,56640,Very High (171-1000),691,2001-2010,2007,122
Wakeboard/Wakesurf,8,3,Aluminium,Display Model,Unknown,Switzerland,150K-300K,273600,Very High (171-1000),690,2016-2020,2019,123
Sport Boat,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,42240,Very High (171-1000),686,2016-2020,2015,124
Sport Boat,7,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,18144,Very High (171-1000),686,1991-2000,1990,125
Motor Yacht,13,4,GRP,Used boat,Unknown,Austria,50K-150K,65000,Very High (171-1000),685,1991-2000,1993,126
Cabin Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,24864,Very High (171-1000),684,2001-2010,2004,127
Motor Yacht,12,3,Plastic,Used boat,Unknown,Croatia,lower_50K,38000,Very High (171-1000),683,Unknown,2020,128
Classic,7,2,GRP,Used boat,Unknown,Croatia,lower_50K,7400,Very High (171-1000),683,1976-1990,1976,129
Sport Boat,6,3,GRP,Used boat,Unknown,Switzerland,lower_50K,14304,Very High (171-1000),682,1991-2000,1996,130
Motor Yacht,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,28608,Very High (171-1000),678,1991-2000,1996,131
Cabin Boat,8,3,GRP,Used boat,Unknown,Germany,lower_50K,30000,Very High (171-1000),677,1991-2000,1995,132
Motor Yacht,24,6,Wood,Used boat,Unknown,Italy,50K-150K,60000,Very High (171-1000),677,2001-2010,2003,133
Cabin Boat,10,3,Steel,Used boat,Unknown,Austria,lower_50K,9800,Very High (171-1000),673,1900-1975,1930,134
Sport Boat,8,3,GRP,Used boat,Unknown,Switzerland,50K-150K,59520,Very High (171-1000),672,2001-2010,2007,135
Motor Yacht,9,3,GRP,Used boat,Unknown,Switzerland,50K-150K,66240,Very High (171-1000),665,2011-2015,2013,136
Sport Boat,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,19200,Very High (171-1000),665,1991-2000,1991,137
Deck Boat,8,3,Unknown,Used boat,Unknown,Czech Republic,lower_50K,40000,Very High (171-1000),665,2001-2010,2005,138
Sport Boat,8,3,GRP,Used boat,Unknown,Switzerland,50K-150K,118080,Very High (171-1000),662,2001-2010,2001,139
Flybridge,9,3,GRP,Used boat,Unknown,Switzerland,50K-150K,59520,Very High (171-1000),660,1991-2000,1990,140
Deck Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,19104,Very High (171-1000),655,2016-2020,2015,141
Cabin Boat,8,2,Unknown,Used boat,Unknown,Switzerland,lower_50K,22080,Very High (171-1000),655,1991-2000,1991,142
Cabin Boat,8,2,GRP,Used boat,Unknown,Switzerland,lower_50K,27744,Very High (171-1000),654,1991-2000,1990,143
Sport Boat,8,3,Plastic,Used boat,Unknown,Germany,50K-150K,62800,Very High (171-1000),652,2011-2015,2010,144
Offshore Boat,10,3,GRP,Used boat,Unknown,Spain,lower_50K,19999,Very High (171-1000),651,1991-2000,1990,145
Cabin Boat,9,3,Steel,Used boat,Unknown,Switzerland,lower_50K,28692.48,Very High (171-1000),651,1976-1990,1984,146
Cabin Boat,12,3,GRP,Used boat,Unknown,Germany,150K-300K,182400,Very High (171-1000),646,2001-2010,2003,147
Motor Yacht,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,27000,Very High (171-1000),642,1991-2000,1990,148
Fishing Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,3840,Very High (171-1000),641,1991-2000,1994,149
Cabin Boat,8,3,GRP,Used boat,Unknown,Netherlands,lower_50K,12350,Very High (171-1000),640,1976-1990,1978,150
